open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-07-26 16:18:00+08:00,186.9200,187.0400,186.8200,186.9800,28175.78,2025-07-26 16:18:59.999000+08:00,5266429.728200,2546,12867.67,2405319.860900,0
2025-07-26 16:19:00+08:00,186.9800,187.1500,186.9300,186.9600,23462.85,2025-07-26 16:19:59.999000+08:00,4388661.290800,1974,13656.85,2554466.410500,0
2025-07-26 16:20:00+08:00,186.9500,186.9500,186.7700,186.8800,7977.16,2025-07-26 16:20:59.999000+08:00,1490478.221700,1058,3740.93,698971.511700,0
2025-07-26 16:21:00+08:00,186.8800,186.9700,186.8600,186.9300,6771.44,2025-07-26 16:21:59.999000+08:00,1265673.652800,1040,3050.91,570259.907700,0
2025-07-26 16:22:00+08:00,186.9400,187.1000,186.9300,187.0300,17894.95,2025-07-26 16:22:59.999000+08:00,3346318.938300,1605,13445.08,2514190.102600,0
2025-07-26 16:23:00+08:00,187.0300,187.0400,186.9600,187.0000,3666.86,2025-07-26 16:23:59.999000+08:00,685735.909800,595,1884.72,352468.070600,0
2025-07-26 16:24:00+08:00,187.0000,187.0100,186.8000,186.8500,5088.22,2025-07-26 16:24:59.999000+08:00,950938.087800,737,1973.08,368704.184700,0
2025-07-26 16:25:00+08:00,186.8600,186.9900,186.8500,186.9100,3816.66,2025-07-26 16:25:59.999000+08:00,713506.562900,797,2542.12,475239.445500,0
2025-07-26 16:26:00+08:00,186.9000,186.9600,186.8800,186.9400,4341.55,2025-07-26 16:26:59.999000+08:00,811527.806500,647,2640.98,493640.443100,0
2025-07-26 16:27:00+08:00,186.9400,187.1700,186.8900,187.1500,7528.93,2025-07-26 16:27:59.999000+08:00,1408434.339800,1150,5319.84,995263.154800,0
2025-07-26 16:28:00+08:00,187.1400,187.2500,187.0500,187.1100,12026.13,2025-07-26 16:28:59.999000+08:00,2251058.873500,1589,7758.11,1452258.628900,0
2025-07-26 16:29:00+08:00,187.1100,187.1800,187.0800,187.1700,5909.37,2025-07-26 16:29:59.999000+08:00,1105865.176600,720,4625.82,865659.688600,0
2025-07-26 16:30:00+08:00,187.1800,187.2700,187.1700,187.2500,7092.76,2025-07-26 16:30:59.999000+08:00,1328006.547400,1472,4742.73,887989.855000,0
2025-07-26 16:31:00+08:00,187.2500,187.2800,187.1000,187.1400,9711.17,2025-07-26 16:31:59.999000+08:00,1817868.189700,1046,2486.14,465382.886500,0
2025-07-26 16:32:00+08:00,187.1500,187.1500,187.0100,187.0800,7942.99,2025-07-26 16:32:59.999000+08:00,1485962.491000,1030,4574.34,855766.294400,0
2025-07-26 16:33:00+08:00,187.0900,187.1300,186.9700,187.0600,12013.64,2025-07-26 16:33:59.999000+08:00,2247549.580200,1066,6763.47,1265360.367400,0
2025-07-26 16:34:00+08:00,187.0600,187.1000,187.0000,187.1000,2583.57,2025-07-26 16:34:59.999000+08:00,483251.282700,661,1177.35,220221.501700,0
2025-07-26 16:35:00+08:00,187.0900,187.1600,187.0200,187.0500,5525.68,2025-07-26 16:35:59.999000+08:00,1033726.162500,753,4151.70,776699.110600,0
2025-07-26 16:36:00+08:00,187.0600,187.0900,187.0000,187.0200,7211.84,2025-07-26 16:36:59.999000+08:00,1348835.298300,744,824.30,154180.603400,0
2025-07-26 16:37:00+08:00,187.0200,187.0600,186.9700,187.0600,6727.70,2025-07-26 16:37:59.999000+08:00,1258115.964100,718,2869.78,536700.189200,0
2025-07-26 16:38:00+08:00,187.0600,187.0800,187.0000,187.0400,2156.01,2025-07-26 16:38:59.999000+08:00,403240.784300,509,1273.29,238141.499600,0
2025-07-26 16:39:00+08:00,187.0400,187.0700,186.9800,187.0700,10940.12,2025-07-26 16:39:59.999000+08:00,2045951.888600,693,3536.03,661308.432000,0
2025-07-26 16:40:00+08:00,187.0600,187.1200,187.0100,187.1200,7172.31,2025-07-26 16:40:59.999000+08:00,1341612.320000,765,2410.80,450969.313900,0
2025-07-26 16:41:00+08:00,187.1100,187.2100,187.1100,187.1900,4334.06,2025-07-26 16:41:59.999000+08:00,811234.077200,836,3035.98,568258.639800,0
2025-07-26 16:42:00+08:00,187.1900,187.2100,187.1700,187.1800,4849.56,2025-07-26 16:42:59.999000+08:00,907781.213100,637,2281.92,427140.864200,0
2025-07-26 16:43:00+08:00,187.1900,187.1900,187.1100,187.1700,4839.84,2025-07-26 16:43:59.999000+08:00,905698.756500,760,2825.59,528764.445700,0
2025-07-26 16:44:00+08:00,187.1700,187.2000,187.1400,187.1700,3682.95,2025-07-26 16:44:59.999000+08:00,689382.191500,572,1878.32,351595.954200,0
2025-07-26 16:45:00+08:00,187.1800,187.2000,187.1000,187.1800,3429.80,2025-07-26 16:45:59.999000+08:00,641847.679100,1216,1753.53,328134.754000,0
2025-07-26 16:46:00+08:00,187.1800,187.4800,187.1800,187.4500,34955.38,2025-07-26 16:46:59.999000+08:00,6550176.310200,2657,31519.48,5906306.452400,0
2025-07-26 16:47:00+08:00,187.4500,187.5000,187.4400,187.4800,14942.49,2025-07-26 16:47:59.999000+08:00,2801316.455900,1301,11953.03,2240882.431700,0
2025-07-26 16:48:00+08:00,187.4900,187.5300,187.4500,187.5300,11105.68,2025-07-26 16:48:59.999000+08:00,2082212.668120,1143,8260.97,1548910.744820,0
