sl_lookback,trades,trades_pm,win_rate,net_pnl,profit_factor,avg_win,avg_loss,ev_per_trade,max_drawdown,avg_sl_dist_pct,avg_trail_steps,exits_sl,exits_eod
1,151,4.2,0.4437,533.24,1.814,17.74,-7.8,3.531,-85.03,1.905,3.65,151,0
5,147,4.1,0.4082,389.27,1.596,17.37,-7.51,2.648,-81.67,2.021,3.38,147,0
10,147,4.1,0.415,399.28,1.605,17.36,-7.67,2.716,-86.72,2.099,3.39,147,0
15,145,4.0,0.4138,414.63,1.645,17.62,-7.56,2.86,-93.98,2.212,3.42,145,0
